CellCLI> LIST GRIDDISK ATTRIBUTES name, asmmodestatus
	 BANKBU_DBFS01_01_CD_SC01_CEL03	 ONLINE
	 RECO32_CD_09_sc01_cel03       	 ONLINE
	 RECO32_CD_10_sc01_cel03       	 ONLINE
	 RECO32_CD_11_sc01_cel03       	 ONLINE
	 RECO33_CD_00_sc01_cel03       	 ONLINE
	 RECO33_CD_01_sc01_cel03       	 ONLINE
	 RECO33_CD_02_sc01_cel03       	 ONLINE
	 RECO33_CD_03_sc01_cel03       	 ONLINE
	 RECO33_CD_04_sc01_cel03       	 ONLINE
	 RECO33_CD_05_sc01_cel03       	 ONLINE
	 RECO33_CD_06_sc01_cel03       	 ONLINE
	 RECO33_CD_07_sc01_cel03       	 ONLINE
	 RECO33_CD_08_sc01_cel03       	 ONLINE
	 RECO33_CD_09_sc01_cel03       	 ONLINE
	 RECO33_CD_10_sc01_cel03       	 ONLINE
	 RECO33_CD_11_sc01_cel03       	 ONLINE
	 RECO34_CD_00_sc01_cel03       	 ONLINE
	 RECO34_CD_01_sc01_cel03       	 ONLINE
	 RECO34_CD_02_sc01_cel03       	 ONLINE
	 RECO34_CD_03_sc01_cel03       	 ONLINE
	 RECO34_CD_04_sc01_cel03       	 ONLINE
	 RECO34_CD_05_sc01_cel03       	 ONLINE
	 RECO34_CD_06_sc01_cel03       	 ONLINE
	 RECO34_CD_07_sc01_cel03       	 ONLINE
	 RECO34_CD_08_sc01_cel03       	 ONLINE
	 RECO34_CD_09_sc01_cel03       	 ONLINE
	 RECO34_CD_10_sc01_cel03       	 ONLINE
	 RECO34_CD_11_sc01_cel03       	 ONLINE
	 RECO35_CD_00_sc01_cel03       	 ONLINE
	 RECO35_CD_01_sc01_cel03       	 ONLINE
	 RECO35_CD_02_sc01_cel03       	 ONLINE
	 RECO35_CD_03_sc01_cel03       	 ONLINE
	 RECO35_CD_04_sc01_cel03       	 ONLINE
	 RECO35_CD_05_sc01_cel03       	 ONLINE
	 RECO35_CD_06_sc01_cel03       	 ONLINE
	 RECO35_CD_07_sc01_cel03       	 ONLINE
	 RECO35_CD_08_sc01_cel03       	 ONLINE
	 RECO35_CD_09_sc01_cel03       	 ONLINE
	 RECO35_CD_10_sc01_cel03       	 ONLINE
	 RECO35_CD_11_sc01_cel03       	 ONLINE
	 RECO36_CD_00_sc01_cel03       	 ONLINE
	 RECO36_CD_01_sc01_cel03       	 ONLINE
	 RECO36_CD_02_sc01_cel03       	 ONLINE
	 RECO36_CD_03_sc01_cel03       	 ONLINE
	 RECO36_CD_04_sc01_cel03       	 ONLINE
	 RECO36_CD_05_sc01_cel03       	 ONLINE
	 RECO36_CD_06_sc01_cel03       	 ONLINE
	 RECO36_CD_07_sc01_cel03       	 ONLINE
	 RECO36_CD_08_sc01_cel03       	 ONLINE
	 RECO36_CD_09_sc01_cel03       	 ONLINE
	 RECO36_CD_10_sc01_cel03       	 ONLINE
	 RECO36_CD_11_sc01_cel03       	 ONLINE
	 RECO37_CD_00_sc01_cel03       	 ONLINE
	 RECO37_CD_01_sc01_cel03       	 ONLINE
	 RECO37_CD_02_sc01_cel03       	 ONLINE
	 RECO37_CD_03_sc01_cel03       	 ONLINE
	 RECO37_CD_04_sc01_cel03       	 ONLINE
	 RECO37_CD_05_sc01_cel03       	 ONLINE
	 RECO37_CD_06_sc01_cel03       	 ONLINE
	 RECO37_CD_07_sc01_cel03       	 ONLINE
	 RECO37_CD_08_sc01_cel03       	 ONLINE
	 RECO37_CD_09_sc01_cel03       	 ONLINE
	 RECO37_CD_10_sc01_cel03       	 ONLINE
	 RECO37_CD_11_sc01_cel03       	 ONLINE
	 RECO38_CD_00_sc01_cel03       	 ONLINE
	 RECO38_CD_01_sc01_cel03       	 ONLINE
	 RECO38_CD_02_sc01_cel03       	 ONLINE
	 RECO38_CD_03_sc01_cel03       	 ONLINE
	 RECO38_CD_04_sc01_cel03       	 ONLINE
	 RECO38_CD_05_sc01_cel03       	 ONLINE
	 RECO38_CD_06_sc01_cel03       	 ONLINE
	 RECO38_CD_07_sc01_cel03       	 ONLINE
	 RECO38_CD_08_sc01_cel03       	 ONLINE
	 RECO38_CD_09_sc01_cel03       	 ONLINE
	 RECO38_CD_10_sc01_cel03       	 ONLINE
	 RECO38_CD_11_sc01_cel03       	 ONLINE
	 RECO39_CD_00_sc01_cel03       	 ONLINE
	 RECO39_CD_01_sc01_cel03       	 ONLINE
	 RECO39_CD_02_sc01_cel03       	 ONLINE
	 RECO39_CD_03_sc01_cel03       	 ONLINE
